Consent,ageFeel,oldBegin,oldReally,age,gender,numChild
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",4,55,80,21,female,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,40,50,39,female,5
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,40,70,21,female,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",2,40,60,36,female,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,50,112,46,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,40,60,47,Male,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,30,90,29,female,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",1,40,50,35,female,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,30,50,33,male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,50,75,41,male,2
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,45,75,47,female,1
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",5,55,65,25,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",6,55,75,28,female,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,65,75,25,Female,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",3,45,70,32,Male,0
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",2,28,52,28,male,3
"Yes, I am at least 18 years of age, have read and understand the explanation provided to me and voluntarily agree to participate in this survey.",4,70,85,63,female,2
